run_id,likelihood,seed,temperature,label_noise,_step,_runtime,_timestamp,csgld/test/acc,csgld/test/bma_ce_nll,csgld/test/total_loss,csgld/train/mini_loss,_wandb,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
s4qtcehc,softmax,-1,1.0,0.0,1000,20936,1643759514,0.8204,5380.6396484375,5399.5,26116.908203125,{'runtime': 20938},999,0.8564,0.0,350,
atn004a2,dirichlet,-1,,0.8,1000,21385,1644867276,0.4855,19904.5,176289.296875,935289.5,{'runtime': 21386},999,0.5355,176420.796875,350,0.1
pedm60o4,dirichlet,-1,,0.8,1000,21379,1644867270,0.5761,14896.9306640625,285922.28125,1607383.0,{'runtime': 21380},999,0.6061,286112.75,350,0.01
a4hs1ux6,dirichlet,-1,,0.8,1000,21401,1644867293,0.5287,14744.0732421875,414906.09375,2395583.75,{'runtime': 21402},999,0.5825,415516.40625,350,0.001
9uwkb79x,dirichlet,-1,,0.8,1000,21277,1644867167,0.3757,27541.064453125,773606.6875,3753156.25,{'runtime': 21278},999,0.4434,768042.3125,350,1e-05
s4b34kpq,dirichlet,-1,,0.8,1000,21296,1644867186,0.4454,19088.423828125,578001.8125,3012968.75,{'runtime': 21297},999,0.5224,575182.875,350,0.0001
plrb7sl4,dirichlet,-1,,0.8,1000,21420,1644866820,0.3992,28199.439453125,935637.1875,4507096.0,{'runtime': 21421},999,0.4707,930948.0625,350,1e-06
d13rmyp8,dirichlet,-1,,0.5,1000,17507,1644862653,0.7572,12319.0244140625,153236.65625,860561.6875,{'runtime': 17508},999,0.7816,153439.03125,350,0.1
6eludw8s,dirichlet,-1,,0.5,1000,17578,1644862612,0.8005,6947.6630859375,223799.796875,1349593.875,{'runtime': 17580},999,0.8277,223740.953125,350,0.01
6jz1qnfh,dirichlet,-1,,0.5,1000,17443,1644862237,0.7618,8656.4912109375,319048.0625,2071482.875,{'runtime': 17444},999,0.8012,317955.6875,350,0.001
6gp0qskl,dirichlet,-1,,0.5,1000,21423,1644860605,0.7132,12392.259765625,434626.5625,2264421.0,{'runtime': 21425},999,0.7694,431958.125,350,0.0001
0vq8elss,dirichlet,-1,,0.5,1000,17356,1644851727,0.697,15648.9970703125,554148.6875,2615397.75,{'runtime': 17357},999,0.7568,550064.875,350,1e-05
9t2pfvyj,dirichlet,-1,,0.5,1000,17450,1644847932,0.681,18719.3671875,676670.5,2796622.5,{'runtime': 17451},999,0.7458,673276.8125,350,1e-06
qvqzrflj,dirichlet,-1,,0.2,1000,17354,1644847069,0.8346,8155.37109375,142800.375,752985.125,{'runtime': 17356},999,0.854,142950.21875,350,0.1
08a605vd,dirichlet,-1,,0.2,1000,17498,1644847075,0.8691,4487.43505859375,192006.5,1141494.125,{'runtime': 17500},999,0.8864,191827.234375,350,0.01
9bpicfng,dirichlet,-1,,0.2,1000,21418,1644850265,0.8557,5973.181640625,250944.578125,1180205.125,{'runtime': 21420},999,0.8807,251281.859375,350,0.001
ixamkrnv,dirichlet,-1,,0.2,1000,21152,1644849999,0.8362,9073.66796875,332533.0625,1537615.375,{'runtime': 21154},999,0.8645,329693.21875,350,0.0001
r8oi9rmx,dirichlet,-1,,0.2,1000,21450,1644850297,0.8288,12015.294921875,411549.78125,1616436.625,{'runtime': 21451},999,0.8561,409090.75,350,1e-05
x587w7sv,dirichlet,-1,,0.2,1000,21028,1644845981,0.8197,14308.7744140625,491321.46875,1581656.875,{'runtime': 21029},999,0.8554,485898.375,350,1e-06
